city,latitude,longitude,country,citycode,density,timezone
Saint-Oblas,45.5674,5.0447,France,FR-ARA,120.3,Europe/Paris
Louresse,47.2393,-0.3134,France,FR-R,40.7,Europe/Paris
Olmet,44.9542,2.6108,France,FR-ARA,69.2,Europe/Paris
Olmet,45.7099,3.6615,France,FR-ARA,8.9,Europe/Paris
Gottenhouse,48.7211,7.3621,France,FR-GES,329.4,Europe/Paris
Bergues,50.9688,2.4324,France,FR-HDF,2630.4,Europe/Paris
Villelongue,45.8647,2.8817,France,FR-ARA,30.7,Europe/Paris
Saint-Martin-dâ€™Arrossa,43.2378,-1.313,France,FR-NAQ,25.7,Europe/Paris
Marre,49.2101,5.3008,France,FR-GES,18.1,Europe/Paris
Neuve-Maison,49.9309,4.0326,France,FR-HDF,74.7,Europe/Paris